Participant Number,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0
1,1000,1255,1255,1255,1507,1539,1539,1539,1512,1487
2,1027,1045,1097,1119,1119,1119,1113,1107,1102,1142
3,1000,1115,1115,1115,1274,1274,1295,1298,1298,1328
4,1027,1027,1027,1026,1025,1023,1022,1069,1106,1106
5,1000,1000,1000,1116,1116,1175,1181,1181,1209,1209
6,1067,1067,1246,1287,1287,1287,1409,1454,1464,1493
7,1067,1067,1406,1406,1406,1385,1366,1404,1447,1447
8,1227,1245,1245,1245,1299,1324,1364,1364,1364,1396
9,1147,1147,1147,1242,1340,1326,1326,1326,1310,1297
10,1000,1000,1116,1116,1212,1212,1242,1242,1287,1318
11,1027,1045,1097,1097,1097,1096,1096,1096,1091,1087
12,1000,1000,1000,1000,1114,1114,1114,1270,1287,1291
13,1027,1027,1027,1026,1068,1074,1074,1074,1071,1087
14,1067,1265,1310,1310,1360,1370,1370,1370,1352,1386
15,1000,1068,1068,1178,1219,1348,1348,1374,1399,1441
16,1000,1000,1000,1370,1370,1385,1470,1470,1470,1447
17,1027,1091,1091,1091,1172,1172,1172,1163,1155,1163
18,1027,1091,1097,1097,1180,1259,1368,1368,1394,1394
19,1187,1264,1264,1272,1262,1262,1371,1424,1424,1461
20,1000,1000,1000,1306,1410,1407,1516,1538,1554,1554
21,1000,1000,1116,1285,1307,1307,1437,1477,1477,1477
22,1000,1115,1115,1156,1200,1245,1242,1242,1263,1263
23,1000,1068,1246,1246,1246,1273,1380,1380,1404,1445
24,1000,1000,1000,1000,1000,1027,1120,1291,1291,1321
25,1000,1000,1036,1213,1213,1256,1251,1251,1247,1282
26,1000,1021,1021,1072,1192,1180,1301,1364,1439,1439
27,1000,1068,1068,1115,1115,1115,1271,1278,1318,1318
28,1000,1000,1276,1276,1528,1556,1556,1556,1522,1566
29,1000,1000,1000,1116,1211,1211,1299,1362,1389,1433
30,1000,1000,1196,1196,1476,1545,1591,1591,1597,1597
31,1000,1000,1356,1356,1504,1504,1504,1570,1570,1630
32,1067,1067,1067,1238,1303,1327,1327,1327,1346,1423
33,1000,1021,1021,1135,1135,1162,1162,1162,1161,1229
34,1000,1000,1036,1036,1036,1035,1033,1031,1108,1152
35,1067,1067,1067,1174,1181,1172,1172,1218,1218,1255
36,1107,1107,1107,1102,1128,1128,1139,1139,1139,1202
37,1147,1141,1137,1137,1137,1158,1165,1165,1219,1219
38,1187,1187,1238,1312,1312,1305,1320,1350,1350,1399
39,1000,1000,1036,1036,1036,1035,1126,1206,1206,1270
40,1187,1187,1187,1178,1169,1440,1455,1455,1488,1488
41,1067,1172,1161,1161,1161,1265,1265,1302,1302,1302
42,1147,1147,1216,1216,1387,1390,1417,1417,1434,1469
43,1000,1021,1133,1133,1281,1281,1281,1267,1273,1305
44,1067,1067,1067,1111,1111,1111,1105,1121,1121,1217
45,1000,1068,1166,1166,1208,1252,1252,1252,1333,1411
46,1000,1021,1053,1053,1072,1072,1072,1068,1126,1126
47,1067,1067,1086,1086,1170,1280,1414,1459,1467,1467
48,1000,1000,1000,1000,1000,1143,1219,1219,1243,1243
49,1000,1115,1115,1115,1274,1246,1271,1278,1294,1431
50,1147,1147,1147,1140,1133,1241,1241,1241,1229,1229
